ablation,n,positives,positive_rate,pr_auc,roc_auc,threshold,balanced_accuracy,f1_positive,precision_positive,recall_positive,tn,fp,fn,tp
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.24,0.4968051118210863,0.0,0.0,0.0,622,4,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.245,0.4968051118210863,0.0,0.0,0.0,622,4,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.25,0.4984025559105431,0.0,0.0,0.0,624,2,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.255,0.4984025559105431,0.0,0.0,0.0,624,2,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.26,0.4984025559105431,0.0,0.0,0.0,624,2,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.265,0.4984025559105431,0.0,0.0,0.0,624,2,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.27,0.4984025559105431,0.0,0.0,0.0,624,2,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.275,0.4992012779552716,0.0,0.0,0.0,625,1,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.28,0.4992012779552716,0.0,0.0,0.0,625,1,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.28500000000000003,0.4992012779552716,0.0,0.0,0.0,625,1,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.29,0.4992012779552716,0.0,0.0,0.0,625,1,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.295,0.4992012779552716,0.0,0.0,0.0,625,1,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.3,0.4992012779552716,0.0,0.0,0.0,625,1,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.305,0.4992012779552716,0.0,0.0,0.0,625,1,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.31,0.4992012779552716,0.0,0.0,0.0,625,1,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.315,0.4992012779552716,0.0,0.0,0.0,625,1,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.32,0.4992012779552716,0.0,0.0,0.0,625,1,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.325,0.4992012779552716,0.0,0.0,0.0,625,1,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.33,0.4992012779552716,0.0,0.0,0.0,625,1,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.335,0.5,0.0,0.0,0.0,626,0,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.34,0.5,0.0,0.0,0.0,626,0,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.34500000000000003,0.5,0.0,0.0,0.0,626,0,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.35000000000000003,0.5,0.0,0.0,0.0,626,0,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.355,0.5,0.0,0.0,0.0,626,0,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.36,0.5,0.0,0.0,0.0,626,0,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.365,0.5,0.0,0.0,0.0,626,0,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.37,0.5,0.0,0.0,0.0,626,0,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.375,0.5,0.0,0.0,0.0,626,0,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.38,0.5,0.0,0.0,0.0,626,0,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.385,0.5,0.0,0.0,0.0,626,0,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.39,0.5,0.0,0.0,0.0,626,0,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.395,0.5,0.0,0.0,0.0,626,0,30,0
