id,session_id,user_id,experiment_group,event_type,event_data,page_url,timestamp,relative_t_ms,created_at
995,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":6,""status"":""triggered"",""details"":{""name"":""Feedback Late"",""type"":""feedback_late"",""timestamp"":1766743613925}}",http://localhost:3000/checkout,1766743613951,,2025-12-26 10:06:54
996,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":16,""status"":""triggered"",""details"":{""name"":""Network Jitter"",""type"":""network_jitter"",""timestamp"":1766743664935}}",http://localhost:3000/checkout,1766743664958,,2025-12-26 10:07:45
997,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":15,""status"":""triggered"",""details"":{""name"":""Overlay Blocking"",""type"":""overlay_blocking"",""timestamp"":1766743715924}}",http://localhost:3000/,1766743715970,,2025-12-26 10:08:36
998,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":6,""status"":""triggered"",""details"":{""name"":""Feedback Late"",""type"":""feedback_late"",""timestamp"":1766743767853}}",http://localhost:3000/,1766743767904,,2025-12-26 10:09:27
999,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":6,""status"":""triggered"",""details"":{""name"":""Feedback Late"",""type"":""feedback_late"",""timestamp"":1766743823869}}",http://localhost:3000/login,1766743823976,,2025-12-26 10:10:24
1000,3e735bad-5746-4afa-a7ea-81f929178658,13,variant_c,page_view,"{""url"":""http://localhost:3000/login""}",http://localhost:3000/login,1766743822126,,2025-12-26 10:10:25
1001,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":6,""status"":""triggered"",""details"":{""name"":""Feedback Late"",""type"":""feedback_late"",""timestamp"":1766743826855}}",http://localhost:3000/login,1766743826868,,2025-12-26 10:10:26
1002,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":16,""status"":""triggered"",""details"":{""name"":""Network Jitter"",""type"":""network_jitter"",""timestamp"":1766743827853}}",http://localhost:3000/login,1766743827861,,2025-12-26 10:10:27
1003,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":5,""status"":""triggered"",""details"":{""name"":""First Click Miss"",""type"":""first_click_miss"",""timestamp"":1766743828858}}",http://localhost:3000/login,1766743828878,,2025-12-26 10:10:28
1004,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":5,""status"":""triggered"",""details"":{""name"":""First Click Miss"",""type"":""first_click_miss"",""timestamp"":1766743829860}}",http://localhost:3000/login,1766743829869,,2025-12-26 10:10:29
