metric,scenario,band,roi_a,roi_b,delta_mean,cohens_d,t_p_raw,t_p_fdr,wilcoxon_p_raw,wilcoxon_p_fdr,perm_p_raw,direction,significant,n_subjects
wpli,broken_image,gamma,central,parietal,-0.010355042293667793,-0.46385886358338696,0.20152245980848332,0.9217271031437393,0.25,1.0,0.24875621890547264,decrease,False,9
wpli,broken_image,gamma,central,occipital,-0.008577901870012283,-0.13770133793618156,0.6903809423220905,0.9427245938231477,0.734375,1.0,0.681592039800995,decrease,False,9
wpli,broken_image,gamma,central,temporal,0.0028818415012210608,0.07656155483930752,0.8241005327456382,0.9427245938231477,0.8203125,1.0,0.7661691542288557,increase,False,9
wpli,broken_image,gamma,parietal,parietal,-0.02302556298673153,-0.719407588741597,0.06296350085893698,0.9217271031437393,0.09765625,1.0,0.0945273631840796,decrease,False,9
wpli,broken_image,gamma,parietal,occipital,0.0005244943895377219,0.014813068726897853,0.9656435263571079,0.9656435263571079,1.0,1.0,0.9502487562189055,increase,False,9
wpli,broken_image,gamma,parietal,temporal,0.0012306405697017908,0.06381736647077409,0.8529412991733241,0.9427245938231477,0.91015625,1.0,0.8706467661691543,increase,False,9
wpli,broken_image,gamma,occipital,occipital,0.010420560836791992,0.1946146133631064,0.5754131395322595,0.9295135330905729,0.49609375,1.0,0.5920398009950248,increase,False,9
wpli,broken_image,gamma,occipital,temporal,0.0009806520538404584,0.020662731658492438,0.9520929666827711,0.9656435263571079,1.0,1.0,0.9552238805970149,increase,False,9
wpli,broken_image,gamma,temporal,temporal,-0.005334546323865652,-0.16091320531849626,0.6422132853858663,0.9427245938231477,0.8203125,1.0,0.5920398009950248,decrease,False,9
wpli,button_delay,theta,frontal,frontal,0.023950645700097084,0.7100642341947598,0.10935898438044818,0.4612792727490861,0.15625,0.546875,0.09950248756218906,increase,False,7
wpli,button_delay,theta,frontal,frontal_central,0.011241857893764973,0.46022433815458313,0.2690706929464707,0.5396223803348158,0.375,0.7159090909090908,0.3582089552238806,increase,False,7
wpli,button_delay,theta,frontal,central,-0.006162217818200588,-0.20473266654589156,0.6075568434448488,0.7113644659512205,0.578125,0.8020833333333334,0.582089552238806,decrease,False,7
wpli,button_delay,theta,frontal,parietal,0.027303431183099747,0.6591398651848341,0.1317940779283103,0.4612792727490861,0.15625,0.546875,0.11442786069651742,increase,False,7
wpli,button_delay,theta,frontal,occipital,-0.003950412850826979,-0.09829850719859647,0.8035017414181089,0.8436768284890144,0.8125,0.853125,0.8407960199004975,decrease,False,7
