metric,scenario,band,roi_a,roi_b,delta_mean,cohens_d,t_p_raw,t_p_fdr,wilcoxon_p_raw,wilcoxon_p_fdr,perm_p_raw,direction,significant,n_subjects,connection,abs_d,network_category,reliability_flag,permutation_support
aec,first_click_miss,theta,frontal_central,temporal,0.0352891087532043,0.8828934511461751,0.0411605236398609,0.1629215899723683,0.0546875,0.1276041666666666,0.0796019900497512,increase,False,8,frontal_central-temporal,0.8828934511461751,other,usable_n,False
wpli,feedback_late,gamma,frontal_central,central,0.0125516457483172,0.8743987291960678,0.0304987015273903,0.5658729110562799,0.0390625,0.57421875,0.0547263681592039,increase,False,9,frontal_central-central,0.8743987291960678,sensorimotor,usable_n,False
aec,sort_reset,beta,central,parietal,-0.0235806331038475,-0.8610942039778815,0.0450526493477764,0.2981728981273817,0.078125,0.41015625,0.0646766169154228,decrease,False,8,central-parietal,0.8610942039778815,sensorimotor,usable_n,False
aec,first_click_miss,theta,central,parietal,0.0434953458607196,0.8412091062506856,0.0489325501704855,0.1629215899723683,0.0390625,0.1276041666666666,0.0646766169154228,increase,False,8,central-parietal,0.8412091062506856,other,usable_n,False
wpli,skeleton_prolong,beta,occipital,occipital,-0.0352474488317966,-0.8380484026710204,0.0361368270123492,0.3794366836296669,0.0390625,0.41015625,0.0547263681592039,decrease,False,9,occipital-occipital,0.8380484026710204,visual_occipital,usable_n,False
aec,network_jitter,gamma,frontal,frontal_central,-0.0136383045464754,-0.8371437122124123,0.0362899360545021,0.4639536752274986,0.0546875,0.54140625,0.0597014925373134,decrease,False,9,frontal-frontal_central,0.8371437122124123,other,usable_n,False
wpli,feedback_late,theta,frontal_central,temporal,0.0153614711016416,0.8237129930821987,0.0386417807738428,0.106104844053031,0.09765625,0.205078125,0.0696517412935323,increase,False,9,frontal_central-temporal,0.8237129930821987,other,usable_n,False
aec,coupon_min_spend,alpha,frontal,occipital,0.107687771320343,0.8212464314672613,0.0390901913585365,0.1431963570397531,0.0390625,0.1640625,0.0547263681592039,increase,False,9,frontal-occipital,0.8212464314672613,default-mode_attention_reorientation,usable_n,False
wpli,skeleton_prolong,theta,occipital,occipital,0.0638685896992683,0.8082412310462282,0.0415427968463329,0.2544029305505632,0.09765625,0.41015625,0.0746268656716417,increase,False,9,occipital-occipital,0.8082412310462282,visual_occipital,usable_n,False
aec,skeleton_prolong,gamma,frontal_central,central,-0.0288219321519136,-0.804843582093232,0.0422087352644088,0.5449389241176915,0.0546875,0.6767578125,0.0597014925373134,decrease,False,9,frontal_central-central,0.804843582093232,sensorimotor,usable_n,False
